id,customer_id,order_number,total_amount,status,order_date
30,1701203,order_number_870d1e87,37478.31,status_f93ef5ca,2016-10-18
31,4975703,order_number_bcdd5a55,29195.49,status_ea57c917,2022-05-21
32,2812844,order_number_62b4c5a2,78871.59,status_83384036,2018-02-09
33,6111488,order_number_e98bf67b,67913.06,status_8dcb88c5,2024-09-23
34,5449655,order_number_66195dd4,49114.16,status_2791c2ec,2019-09-04
35,5736053,order_number_32476478,42310.94,status_8cf9234,2023-08-17
36,5149340,order_number_4eb4ca12,28352.71,status_626996f2,2016-03-11
37,6993715,order_number_f3ad6d22,45649.64,status_128f03e,2019-05-06
38,5851931,order_number_33954c1f,69040.33,status_4b5f00e4,2023-10-18
39,153083,order_number_d3dc667e,16788.90,status_2e15312a,2019-05-26
40,6693560,order_number_81d83bcc,50819.70,status_88cd0997,2023-11-26
41,7996944,order_number_b379ddc2,67539.10,status_41222bd8,2024-04-01
42,7898000,order_number_5c2ca528,6077.33,status_6a54aa9b,2024-07-09
43,8166293,order_number_7df18acf,37560.90,status_edcc5b7e,2018-07-12
44,3455884,order_number_22a03909,96035.98,status_47a46a7f,2018-06-14
45,1883240,order_number_3a6d4e7d,51287.21,status_1963e523,2018-10-25
46,5090774,order_number_a0f99ea5,51213.44,status_2b5bb0f7,2023-05-21
47,7044659,order_number_ec29ed52,10218.96,status_88dd3761,2018-12-14
48,5963452,order_number_e570a643,89283.85,status_cc1e2d24,2018-10-10
49,4663492,order_number_62292e78,46454.51,status_33f55015,2019-04-28
50,3167419,order_number_85a66c28,5087.61,status_c082f0b5,2020-10-08
51,256772,order_number_f91d930b,26783.37,status_9c2cdcfd,2018-10-10
52,3104284,order_number_abdbf843,89902.94,status_8714709e,2019-09-03
53,6589203,order_number_6580c1b,60625.86,status_c915f37e,2017-05-10
54,9282615,order_number_f217a24f,27680.88,status_41d0089,2019-03-17
55,3015634,order_number_da07df6,98483.30,status_6baad103,2024-05-11
56,9823833,order_number_a5124b67,91405.07,status_2e66a860,2016-12-06
57,2477839,order_number_c58f8d8e,34322.28,status_421948b2,2018-11-28
58,5480539,order_number_e8d2a531,52528.48,status_e7eef375,2018-04-21
59,7123669,order_number_8cdb923,72708.33,status_8c7e0473,2019-07-13
60,284085,order_number_18db1436,12877.26,status_ac269f34,2026-02-07
61,7695247,order_number_3eb92772,12513.87,status_bfafde73,2017-07-12
62,3748936,order_number_4a5e8e05,99675.04,status_bd426b68,2022-10-25
63,3303356,order_number_74f27914,72070.01,status_83a125ab,2017-12-11
64,6556060,order_number_7419f527,66444.45,status_a22bd075,2019-07-11
65,730665,order_number_b6484ddd,16649.33,status_5c90eb1d,2025-12-17
66,6566767,order_number_c3553415,30686.80,status_26fd9818,2019-07-03
67,626207,order_number_9489ac54,8013.88,status_608f4eb4,2016-07-07
68,456440,order_number_ec0485ae,28281.62,status_9df6538c,2016-06-25
69,61683,order_number_daff1b9a,10786.19,status_b0e67a16,2022-12-31
70,4636407,order_number_adfd44e3,42749.33,status_3cffe22,2024-06-05
71,3642058,order_number_c9e8985a,41849.12,status_beff5cca,2016-10-23
72,4600270,order_number_4120168a,27079.47,status_75cd5af,2023-04-15
73,1805322,order_number_7f78ab9f,33862.38,status_f879a076,2022-12-01
74,284283,order_number_455979b,48094.84,status_3a4b2261,2019-06-04
75,1756621,order_number_84495e9d,21811.98,status_4c557d2b,2022-01-12
76,5951522,order_number_c61bbf4c,15949.23,status_ce8f5dd6,2016-05-01
77,8942524,order_number_262a0cf,22257.45,status_e8a364f4,2017-07-29
78,6712147,order_number_8bb527ba,29038.06,status_d3a2758c,2020-05-04
79,9486325,order_number_41c885f9,87429.95,status_96a7bb23,2024-08-23
80,320332,order_number_cde44128,44411.92,status_f1c2d6ff,2022-12-26
81,3360314,order_number_7d7d97f3,12101.10,status_c2ba4712,2019-11-12
82,3440269,order_number_62ca62fd,70505.21,status_200e1c14,2018-04-01
83,8900345,order_number_3feee443,40778.22,status_c1339b55,2023-02-20
84,5509871,order_number_51248b01,65202.21,status_ea9f9ca4,2019-02-11
85,1064998,order_number_d9667ff3,8536.63,status_3753918a,2024-05-14
86,7394236,order_number_b517b68d,22310.66,status_f9a86e3e,2020-11-30
87,5433322,order_number_27c18428,69173.37,status_be30104c,2025-06-09
88,7094287,order_number_cb06eab0,25913.10,status_b58f857b,2026-01-31
89,2605081,order_number_7c11145b,63262.35,status_dd7ae3f8,2021-05-10
90,6380862,order_number_df4a876a,27197.77,status_7c564c7d,2018-03-09
91,2470680,order_number_bf4d634c,13577.11,status_ed405442,2023-08-16
92,5457112,order_number_a0b83795,23736.73,status_7386286d,2020-03-21
93,1379139,order_number_57fdf60b,65769.15,status_22399fca,2024-03-22
94,4071449,order_number_5350216,10880.85,status_6b1ea413,2022-10-04
95,3853604,order_number_6d7d24a1,1817.15,status_d1b17431,2019-02-04
96,1554258,order_number_8c278262,69379.02,status_201857da,2017-08-17
97,5706418,order_number_ccd51e3f,36067.18,status_dfab2466,2018-10-03
98,2886039,order_number_680a6d84,83509.04,status_d185bfe8,2025-08-22
99,5033079,order_number_fdfb1306,63191.76,status_e15d9819,2022-02-13
100,4583993,order_number_72021624,76240.04,status_b3ee0f0d,2025-09-09
101,4355521,order_number_ad67a7c0,95337.98,status_22aa069b,2016-10-10
102,6928270,order_number_8900ed41,63059.90,status_6a4d41ab,2024-01-22
103,3387114,order_number_86321021,60817.43,status_e5cd5492,2019-11-07
104,1291991,order_number_4a3cd694,86691.81,status_850c4dfb,2022-05-17
105,160069,order_number_35722a69,78535.75,status_da1daf4b,2018-07-08
106,4154728,order_number_d4eadee1,38540.95,status_c0a1df29,2019-03-23
107,9262074,order_number_e26c4b7f,87098.75,status_ca389193,2025-10-14
108,4157107,order_number_a2d9479e,78224.51,status_3d629f40,2019-03-31
109,8136486,order_number_190b24de,61856.12,status_36570d57,2024-09-02
110,7656695,order_number_a7f53ead,31347.45,status_85843feb,2018-11-19
111,6499662,order_number_e6d6ddeb,75028.72,status_39dd282,2021-05-06
112,5697574,order_number_233dca2f,78780.37,status_42b2445d,2024-03-18
113,6646208,order_number_b2b73089,85243.68,status_c8fe46cc,2025-10-14
114,1996394,order_number_88bfbf8c,46947.28,status_f55a9713,2019-09-04
115,1019139,order_number_dc15a50c,59936.02,status_9987eb7d,2021-01-23
116,1761483,order_number_fcadda44,19099.17,status_938b442c,2018-12-18
117,8063339,order_number_b9e6fbd6,12458.85,status_1212954d,2016-09-15
118,6524276,order_number_8eb68230,94931.80,status_8954d579,2019-06-21
119,2030747,order_number_1652fb43,51239.35,status_97876fe8,2022-09-08
120,6934046,order_number_97705a31,77646.78,status_91fdd7a6,2023-11-29
121,5790412,order_number_a46946b1,50096.38,status_13a8b9c2,2016-05-28
122,1609499,order_number_b4349783,75512.63,status_49e59003,2025-03-06
123,7851879,order_number_a89327c4,27393.56,status_c61e6638,2019-06-01
124,7499995,order_number_d3f3730,33909.26,status_d7fcf0d6,2022-03-26
125,2450070,order_number_a85d5d3e,33454.36,status_efabb33f,2020-07-29
126,3670467,order_number_f8c1ba52,15325.86,status_8345f643,2024-02-02
127,7980472,order_number_40cba2f4,77348.95,status_af220d00,2023-03-25
128,3154474,order_number_2df4f32b,52671.72,status_6188d81e,2018-05-21
129,4112600,order_number_43b0ccd8,27096.48,status_1026a538,2023-02-25
130,7019717,order_number_7df4ec39,88929.81,status_f0b7554,2023-12-30
131,6803420,order_number_d4128b04,73513.91,status_6aa7bd3b,2017-04-08
132,4438622,order_number_3c51dfcb,25459.46,status_2fcf1baa,2016-11-05
133,8956342,order_number_b86d4f4d,6817.81,status_2ece18e3,2020-06-06
134,9065942,order_number_6968e1cf,87093.68,status_ee81e2f7,2016-07-10
135,998475,order_number_c16ae4cd,61618.94,status_8faf35d9,2016-04-29
136,9076579,order_number_2b6416c2,6635.77,status_1cbf4d33,2020-07-19
137,6508649,order_number_4c522859,17692.51,status_eada05ef,2021-04-22
138,3468749,order_number_32fe6a13,14748.37,status_3d054cea,2022-10-09
139,9996058,order_number_a57e84eb,96421.28,status_425dc8d,2017-03-22
140,9279734,order_number_9ada7b57,97696.68,status_3a6249f6,2021-11-12
141,3835068,order_number_84a67161,99814.22,status_d8094e64,2022-01-17
142,4585291,order_number_efa43d18,94626.46,status_183ac88a,2017-01-16
143,1479655,order_number_e3ebd1e,85446.54,status_b3d3bfd7,2025-04-14
144,3328330,order_number_de945131,61990.35,status_9acc08f5,2017-02-01
145,5940370,order_number_7f200f73,53785.38,status_d61a99db,2022-04-26
146,1368296,order_number_1942dded,64908.19,status_a207deab,2023-01-03
147,8691510,order_number_3b2929de,39705.32,status_6284664d,2017-01-24
148,3128856,order_number_d543465,37263.43,status_47062b6e,2021-05-22
149,9610250,order_number_dc654f7b,76211.43,status_8065bbe1,2017-11-25
150,5575853,order_number_b37e7bd0,36805.66,status_b5c46fb4,2019-05-14
151,6334730,order_number_e20e3c3e,76507.55,status_9c8ab730,2024-01-24
152,9631053,order_number_f8de7ec3,59885.06,status_313cb99,2021-12-06
153,1935216,order_number_1a5564c8,30332.56,status_cc11a5,2017-04-04
154,7494186,order_number_8dfffe94,90588.40,status_eb9b2bff,2023-03-13
155,454161,order_number_a8f35c03,98267.49,status_6d8882d,2023-06-01
156,891620,order_number_7038665e,13042.91,status_56d45a7,2024-09-02
157,1524848,order_number_622645c0,57095.35,status_132d82ea,2020-01-19
158,5804882,order_number_c721aa51,54145.13,status_8aa0fc70,2023-09-14
159,3276129,order_number_6842be06,47882.35,status_16879c70,2017-12-09
160,5325096,order_number_b076615b,63305.97,status_3f4cf6f9,2017-02-21
161,8326611,order_number_92c4a2e0,60727.99,status_8633122a,2023-04-07
162,5396910,order_number_c073064c,18293.42,status_a81bf755,2018-07-12
163,7607616,order_number_ed2f4ac8,48395.03,status_2c2320f0,2025-08-12
164,4514336,order_number_2acd9afc,93302.17,status_331c2f9e,2016-04-15
165,3891223,order_number_10fcf3f8,83225.28,status_a6cf2808,2017-09-30
166,8548041,order_number_8caf326,87632.63,status_d8febd7e,2025-02-07
167,7280387,order_number_8f433154,96924.37,status_a27df1f7,2025-11-29
168,9292264,order_number_cad85ed,71401.58,status_9581d210,2025-01-19
169,1533570,order_number_bf0ad7a6,81749.07,status_548f05f9,2024-06-08
170,6801885,order_number_98ce1c49,58164.32,status_16055b9e,2025-09-01
171,169812,order_number_8dbc025b,42159.62,status_10ab35f2,2017-02-13
172,9821532,order_number_51c3d7cf,6699.76,status_46425d30,2018-10-25
173,8507113,order_number_827e4111,39167.93,status_b9000c33,2022-10-05
174,1701336,order_number_4e2b3091,14995.31,status_2b650be3,2017-04-26
175,6074215,order_number_7ddf6f8b,15149.72,status_94041978,2020-04-16
176,7191209,order_number_b5367a04,14671.45,status_3e8b5c80,2017-07-05
177,5383973,order_number_44342fe8,22850.53,status_eb3ebed7,2025-05-14
178,8931062,order_number_32958e38,90444.99,status_c6e073d2,2016-09-14
179,8467189,order_number_a3180b31,55944.80,status_c746b89e,2025-06-20
180,8730499,order_number_543bbb,96959.66,status_4caa7aa1,2024-12-26
181,9306270,order_number_28aaee9b,92124.65,status_fd84b65c,2018-05-15
182,2324055,order_number_94fa4e04,48492.54,status_d28e3a66,2018-02-21
183,4873866,order_number_78a9a410,27321.12,status_3807817b,2020-08-14
184,2913637,order_number_eebe513d,10164.60,status_3fd2b20e,2016-12-01
185,5921937,order_number_698012d9,76947.93,status_cc75e73c,2025-02-08
186,6667366,order_number_c0cad9b5,22849.18,status_c3f81269,2024-06-30
187,3169271,order_number_3691981,91988.16,status_e1279bf7,2021-12-03
188,5779365,order_number_ebd9ec77,41423.04,status_23b05817,2019-06-07
189,7728186,order_number_41a8bc4b,75417.01,status_5244ece3,2022-11-20
190,4231651,order_number_8fc379aa,38593.43,status_36ac9512,2016-10-17
191,5181182,order_number_4c5bc3cd,54169.02,status_e90822da,2020-06-03
192,1980415,order_number_18727ac8,12182.78,status_7966fe22,2016-07-05
193,6388041,order_number_8732cd91,66572.22,status_91c943d5,2017-01-09
194,1349933,order_number_b98b85d4,70265.67,status_32e88e1,2023-11-15
195,605533,order_number_23b6ccc8,281.62,status_a2033a12,2024-09-10
196,2058679,order_number_6b1a540e,20975.01,status_d46a651e,2018-08-09
197,8109812,order_number_15581b7a,8021.78,status_6a919f20,2020-09-30
198,9817821,order_number_993025de,10025.13,status_d79870b9,2021-06-20
199,2955862,order_number_92a714b0,78837.01,status_64914e45,2025-07-09
200,8695425,order_number_ff48e6ec,97206.31,status_bbb5ff49,2016-03-14
201,9066015,order_number_aa2ce89,90389.67,status_be17c502,2021-10-27
202,1625058,order_number_c609cc9b,38805.51,status_92937f3c,2022-08-02
203,3532463,order_number_21d67f46,16004.79,status_29aa0999,2019-03-19
204,9618315,order_number_37b2ae5f,43003.38,status_3d74bc25,2021-09-08
205,1507407,order_number_f1472a6,87347.00,status_5ac29edc,2025-03-06
206,5182556,order_number_e357dab0,60682.14,status_8ba54a6d,2017-12-09
207,9083767,order_number_df0bc52b,92158.52,status_faa5c9c0,2021-01-08
208,5096570,order_number_b5207c82,71857.63,status_d2751ab5,2019-11-11
209,9507616,order_number_87ef7121,60570.16,status_aa966858,2022-12-31
210,7717126,order_number_2b051484,98636.37,status_f197db81,2022-08-05
211,5735725,order_number_3dc6257d,94873.75,status_f65a347,2019-05-12
212,4138947,order_number_1560e69f,30081.72,status_4a0bbdfd,2025-01-17
213,2247695,order_number_802cf0ed,22616.75,status_5c9229d7,2019-08-21
214,2371578,order_number_9bdad766,79765.61,status_391bf706,2018-03-23
215,6563525,order_number_119693b3,96265.95,status_4d153e21,2020-03-05
216,7411117,order_number_4b0fde77,89690.72,status_c488ffba,2023-10-18
217,4264016,order_number_880f591c,1349.68,status_4804ea1e,2017-06-03
218,2018247,order_number_2d2839fe,4365.66,status_96fdb939,2018-03-11
219,5837557,order_number_d5743db7,75369.41,status_54b31770,2025-12-29
220,3272661,order_number_481dc4d3,94979.03,status_c4643d5f,2021-04-05
221,5192614,order_number_49e3f197,90783.01,status_ebdc4342,2020-07-31
222,2753236,order_number_b8cd83f6,89275.56,status_ea97e2a1,2020-08-07
223,3365257,order_number_b5a28643,59803.32,status_49f0f495,2020-07-22
224,7158765,order_number_d778814d,6441.89,status_12f9db51,2021-11-26
225,595805,order_number_b0245e20,73371.63,status_e05146d1,2019-05-06
226,1133000,order_number_5bf3a8ea,67925.48,status_a2e270f1,2022-11-09
227,925274,order_number_ba32cf7e,2766.70,status_562f9379,2022-02-05
228,5443622,order_number_573e6b59,27383.75,status_576f3a65,2024-12-21
229,3915373,order_number_5802ef8b,95808.56,status_baa7dd43,2017-09-22
230,2232972,order_number_35bab28f,82607.75,status_bac5601e,2025-03-24
231,2128388,order_number_72fcb1d8,41157.67,status_d995e41a,2018-11-29
232,4868950,order_number_91b41098,94100.21,status_83421b97,2021-04-14
233,2813190,order_number_85430739,17004.29,status_90300ca2,2024-10-12
234,2623741,order_number_ad194620,6978.70,status_3480afbd,2020-06-02
235,9009976,order_number_73537b23,15217.97,status_7acd575a,2017-01-06
236,6563104,order_number_913245e,19389.77,status_92772e0d,2021-04-19
237,276868,order_number_b75108d7,95466.02,status_f29fd277,2022-01-22
238,575048,order_number_b342b10f,25511.15,status_a83f089f,2021-11-04
239,6717249,order_number_300811f4,28644.22,status_5e020f04,2024-12-01
240,6719218,order_number_86722482,71753.61,status_fb85c34d,2019-06-06
241,7039573,order_number_6e1b9655,70820.66,status_d36f7cf5,2018-11-14
242,1102307,order_number_e97028ea,81807.06,status_cb889eb0,2023-12-15
243,2891545,order_number_b5aa993a,16850.82,status_d2a6fb21,2022-08-21
244,7838706,order_number_c7b97f67,55327.29,status_b744e5bc,2016-12-30
245,9916347,order_number_2d7a122a,27473.56,status_c961af69,2022-01-05
246,1652813,order_number_af1d2a8c,98040.46,status_ee882b0e,2025-01-04
247,6689249,order_number_93bf701e,88474.81,status_9e6b307b,2023-07-29
248,7923474,order_number_791c474a,95639.11,status_29804d58,2016-08-21
249,7308388,order_number_aa32a3c8,18789.56,status_3a0b7de2,2024-02-22
250,3317061,order_number_1be62486,95458.47,status_852c1a67,2024-06-28
251,8360113,order_number_3f76a1b,46922.84,status_a0070470,2017-02-17
252,5585513,order_number_bd17becb,86931.62,status_c9b9eeb7,2021-06-28
253,490810,order_number_8a343a5b,18838.75,status_94484c1e,2020-03-12
254,8352647,order_number_e583d8ce,91392.32,status_5624b96,2024-01-20
255,3882460,order_number_1eb35b5e,62608.47,status_f4cb9f9,2023-05-15
256,7298787,order_number_efd64abf,82173.57,status_17372040,2024-03-18
257,6235911,order_number_c49749c8,51465.75,status_2f485bb6,2026-01-31
258,6750200,order_number_7a1521a6,65622.20,status_e53cfa7e,2024-08-29
259,501280,order_number_106f5561,97532.50,status_e679cbfb,2016-03-24
260,2600386,order_number_e9379535,7128.07,status_be0e91a9,2023-12-26
261,6161901,order_number_73b23de2,98707.95,status_4798358b,2021-10-14
262,9400269,order_number_e04c05d0,30642.64,status_e3fbb326,2021-03-23
263,8186648,order_number_12622fc4,19227.83,status_946320ce,2022-03-18
264,3233998,order_number_28f0edc8,15963.70,status_72be91b2,2016-05-15
265,8787790,order_number_8e44dfef,92579.61,status_a75a5a71,2019-02-19
266,1366652,order_number_9d6247f2,82266.91,status_33fb6917,2020-03-01
267,2475315,order_number_13ea396c,35217.77,status_94ffb30d,2020-07-22
268,1076515,order_number_43763325,24871.42,status_c1215e22,2022-06-03
269,6720202,order_number_32b02a5c,55819.01,status_a433e71b,2022-05-26
270,6632292,order_number_4334dd45,73406.40,status_99b50ef3,2025-07-03
271,5300506,order_number_d6882de0,28604.26,status_df4a7b9e,2025-05-11
272,4873944,order_number_d1e4d1dd,19892.04,status_289f7a00,2025-11-20
273,5387538,order_number_ea9e46be,42915.56,status_8b601747,2023-08-13
274,4663592,order_number_daccf782,42518.01,status_49724a58,2019-10-01
275,8006882,order_number_e36dcae1,43980.79,status_b1b5a903,2016-05-11
276,9217727,order_number_9c3fa46d,29513.21,status_6c864613,2023-08-15
277,8514089,order_number_fca8b20a,86831.28,status_463dd42c,2019-06-12
278,975865,order_number_8308e0f,35320.29,status_ba7c1ff5,2024-06-06
279,7689850,order_number_7c45a249,16509.50,status_6ab66fe0,2025-05-16
280,1569425,order_number_c92bc08d,36348.02,status_2ab579e,2025-06-14
281,9567335,order_number_aeb0c316,28231.45,status_d6b5ba21,2020-06-18
282,8078552,order_number_16d39266,3567.23,status_e77fb3eb,2024-04-27
283,4178899,order_number_19160426,28859.16,status_168a00cd,2025-02-24
284,2363413,order_number_724b7db6,16080.87,status_46434955,2020-04-24
285,6483391,order_number_6d010f50,71357.50,status_4e4e4190,2022-11-17
286,5777994,order_number_99ae3bc7,16002.14,status_80f97a67,2017-06-20
287,7726558,order_number_67391d18,36100.74,status_c7796f5f,2021-06-19
288,9594283,order_number_fd8e40f8,87521.00,status_474d02a5,2020-07-23
289,9680669,order_number_822c69be,7209.57,status_8be6f71c,2024-07-24
290,5112843,order_number_9a141620,15598.54,status_83e7747e,2023-03-14
291,1509142,order_number_2998a4e9,121.33,status_cfd39672,2024-08-13
292,2714714,order_number_4390d9fb,22637.21,status_3268b122,2024-11-02
293,6625932,order_number_48397838,83447.77,status_7e22ef0f,2024-09-24
294,6997097,order_number_8c2ac03b,43770.52,status_e50f554a,2021-02-27
295,1114193,order_number_4ebb96c,97350.96,status_7dd145ba,2023-09-22
296,5836194,order_number_9ebb7d54,48394.85,status_d7a3f051,2021-01-02
297,2237039,order_number_17401ae3,99043.13,status_f2c5e007,2025-03-16
298,9851066,order_number_2a8e8527,89781.23,status_9c0dab43,2020-08-25
299,1011560,order_number_bbe1c198,98495.63,status_6e1448b,2016-08-24
300,2421477,order_number_f67a80b,7549.36,status_7af2db99,2017-06-22
301,8666092,order_number_467021ee,7576.98,status_58ee90e1,2026-02-26
302,7312680,order_number_a38e3ce9,23911.23,status_396769e0,2023-05-07
303,3477099,order_number_d32d74e6,615.57,status_2aaef5e5,2021-11-22
304,766069,order_number_4c41786a,78681.19,status_4f80685,2022-08-14
305,9718161,order_number_2cc70d91,28250.42,status_f46c85e6,2018-05-01
306,2848095,order_number_4af2064,21322.08,status_5c376f6f,2022-12-25
307,2422064,order_number_c8762e8,21549.51,status_93d7a9c5,2020-10-28
308,2019096,order_number_c48d4809,68031.40,status_c8a3973d,2019-03-15
309,2785185,order_number_7cc4d444,69862.43,status_26ae1936,2017-04-09
310,3976774,order_number_d41c7c87,63656.73,status_2f0de333,2024-02-08
311,8180062,order_number_c63f972c,37821.20,status_bdefe7a8,2024-06-11
312,3831176,order_number_c13b9318,19401.18,status_4853ff44,2016-05-30
313,67311,order_number_a475eb3d,56672.04,status_e52f6a73,2017-06-16
314,2631288,order_number_3e8670b6,24385.15,status_8c6f87bd,2019-06-07
315,276229,order_number_93123551,70417.67,status_db733e61,2020-07-05
316,6036711,order_number_330278ed,71734.78,status_d5c10e74,2021-05-29
317,3557336,order_number_f6b0d2e,22289.50,status_a129d1b0,2019-08-18
318,6047807,order_number_9fe247c,57298.25,status_62575d8e,2025-07-02
319,8738172,order_number_67eb2968,51031.80,status_d3be651d,2017-05-21
320,9198962,order_number_a44d61cf,66173.38,status_31545c38,2020-08-11
321,7593081,order_number_84f57b3d,79344.97,status_9fc6c19a,2019-07-09
322,5881879,order_number_a6d52070,44379.12,status_556d31eb,2019-04-16
323,6482086,order_number_8359488e,54534.62,status_7e84b9b5,2023-02-22
324,8635071,order_number_cef89602,40446.16,status_c9e8430a,2019-05-12
325,7348450,order_number_2078b444,29148.74,status_908844e6,2022-01-17
326,5603868,order_number_b5a8b666,46979.31,status_d08ff600,2020-10-04
327,6429872,order_number_c8e17dc8,73791.83,status_108f6835,2025-05-12
328,3667977,order_number_a4bfd214,84487.68,status_4378ea2d,2017-08-14
329,5618075,order_number_618de4c,2060.41,status_803482fb,2023-07-20
330,4381478,order_number_50d1a4d8,93678.34,status_881afa39,2018-05-08
331,4797567,order_number_216edf1f,69859.36,status_9a3dc7ab,2023-10-16
332,2509424,order_number_1f442468,89112.07,status_c6119ad,2020-01-31
333,8361937,order_number_71bf5e45,688.76,status_b498f7e1,2022-10-15
334,4818956,order_number_66ab6194,28723.25,status_ca3169de,2025-03-08
335,3150708,order_number_9604c6fd,25665.96,status_2c73b832,2025-12-03
336,8005360,order_number_e6d6a001,32343.32,status_1386d495,2022-03-30
337,1859709,order_number_c39d5a08,93900.83,status_902d4b6a,2021-02-05
338,5142414,order_number_b4cdb7a8,9285.43,status_a29ba2ef,2021-02-04
339,9717803,order_number_32dc4dc8,3287.00,status_e9a40e3f,2016-09-06
340,468896,order_number_170ab092,84445.41,status_f0a1f570,2017-11-13
341,1067031,order_number_ea3e2090,99164.85,status_73cf3a0,2018-03-24
342,9703441,order_number_21a6a48b,49126.30,status_219e4640,2023-12-27
343,6865039,order_number_5376bfbf,84788.94,status_f7b2572c,2018-01-01
344,3650386,order_number_f2b41bc3,2601.33,status_c8c94903,2024-09-05
345,19094,order_number_e921b476,17914.61,status_120a0e70,2019-10-09
346,368227,order_number_9d21a08e,55259.35,status_d5eb1bd6,2021-07-01
347,632301,order_number_242aeb12,12523.86,status_1c08303,2021-11-30
348,7257192,order_number_d7a1fbc7,45278.44,status_eef0e34a,2017-10-17
349,7401883,order_number_21f9f4ac,7014.35,status_ab931e96,2025-05-15
350,1284944,order_number_9974be84,35901.57,status_7aa02781,2020-04-04
351,3504682,order_number_e78b6245,27009.24,status_17e23f8e,2022-03-31
352,5231827,order_number_e2613f1c,91249.55,status_303eaab2,2023-03-11
353,4713390,order_number_98431f7b,87325.30,status_8a8897ca,2018-05-04
354,1998858,order_number_fe034eae,88924.63,status_cf7989bb,2017-03-26
355,5929397,order_number_bdf80ec8,86660.00,status_2361109d,2021-03-14
356,2775492,order_number_6cd679a2,61612.58,status_21505596,2023-03-16
357,4155770,order_number_414aabbf,95815.12,status_bcce6629,2020-07-05
358,2216533,order_number_6c8f0ea,25088.37,status_bb2708c2,2017-03-03
359,7245373,order_number_3ffdafd0,93354.10,status_89f97197,2018-12-05
360,1901508,order_number_6cd012e1,38500.91,status_d20055fd,2019-08-22
361,9681763,order_number_f00db462,73285.45,status_74e0dce6,2021-07-08
362,699055,order_number_562f421d,77943.52,status_25e5df2,2016-12-21
363,4279774,order_number_81122179,8004.79,status_b6828c45,2018-07-24
364,1812811,order_number_30f1d94,60975.00,status_7b256f93,2020-09-26
365,948833,order_number_e2ea7218,67984.82,status_a6dbb833,2017-05-10
366,3508983,order_number_4cb90de,89245.04,status_b207a365,2025-01-18
367,4158891,order_number_f404881f,30063.68,status_1b0750dc,2023-06-26
368,2486769,order_number_a4ee647b,77243.66,status_f372f3e7,2020-02-21
369,1663976,order_number_fb2e7f5b,3173.59,status_eff51e6b,2024-02-19
370,5902783,order_number_4d894565,95274.50,status_9c017dcf,2016-09-25
371,5653766,order_number_f55cbbfa,10458.59,status_74b8fb4a,2021-03-30
372,1844129,order_number_dc047860,99227.62,status_a845e0e4,2022-08-06
373,5249522,order_number_4255e2a8,60853.89,status_c23dcc82,2016-08-13
374,4225838,order_number_9c78e8b5,34322.44,status_14b6de94,2017-06-18
375,562625,order_number_562590fa,37336.14,status_69051c3,2022-04-24
376,1782075,order_number_d51ecb67,57834.31,status_230d5d93,2023-04-24
377,7526286,order_number_60951af8,35796.00,status_eea2d9b0,2016-07-16
378,7158081,order_number_f61af706,30856.72,status_38587a2c,2019-03-09
379,8670285,order_number_6379d6e2,63775.11,status_912c288c,2019-12-23
